name,iata,icao,lat,lon,country,alt
Da Nang International Airport,DAD,VVDN,16.043909,108.199303,Vietnam,33
Daegu International Airport,TAE,RKTN,35.8941,128.658798,South Korea,116
Dakar Blaise Diagne International Airport,DSS,GOBD,14.671111,-17.066944,Senegal,290
Dakar International Airport,DKR,GOOY,14.7397,-17.4902,Senegal,85
Dakhla Airport,VIL,GMMH,23.713333,-15.935,Morocco,36
Dalaman Airport,DLM,LTBS,36.713051,28.7925,Turkey,20
Dalby Airport,DBY,YDAY,-27.1553,151.266998,Australia,1137
Dalhart Municipal Airport,DHT,KDHT,36.022579,-102.546997,United States,3991
Dali Airport,DLU,ZPDL,25.649401,100.319,China,-1
Dalian Zhoushuizi International Airport,DLC,ZYTL,38.96566,121.538597,China,107
Dallas Addison Airport,ADS,KADS,32.959999,-96.830002,United States,644
Dallas Executive Airport,RBD,KRBD,32.680832,-96.868332,United States,660
Dallas Fort Worth International Airport,DFW,KDFW,32.89682,-97.037903,United States,607
Dallas Love Field Airport,DAL,KDAL,32.847111,-96.8517,United States,487
Dalton Municipal Airport,DNN,KDNN,34.766666,-84.966667,United States,710
Damascus International Airport,DAM,OSDI,33.410629,36.514259,Syria,2020
Dammam King Fahd International Airport,DMM,OEDF,26.471161,49.79789,Saudi Arabia,72
Danbury Municipal Airport,DXR,KDXR,41.371666,-73.482224,United States,458
Dandong Langtou Airport,DDG,ZYDD,40.025551,124.286598,China,154
Dangriga Airport,DGA,MZPB,16.982389,-88.231003,Belize,155
Danville Regional Airport,DAN,KDAN,36.572899,-79.336098,United States,571
Daocheng Yading Airport,DCY,ZUDC,29.323055,100.053329,China,14418
Daqing Sartu Airport,DQA,ZYDQ,46.748684,125.139725,China,499
Dar-es-Salaam Julius Nyerere International Airport,DAR,HTDA,-6.87811,39.202621,Tanzania,182
Daru Airport,DAU,AYDU,-9.08676,143.207993,Papua New Guinea,20
Darwin International Airport,DRW,YPDN,-12.4147,130.876663,Australia,103
Dasoguz Airport,TAZ,UTAT,41.761101,59.826698,Turkmenistan,272
Datong Yungang Airport,DAT,ZBDT,40.055538,113.481361,China,3442
Davao City Francisco Bangoy International Airport,DVO,RPMD,7.125522,125.645699,Philippines,96
Davenport Municipal Airport,DVN,KDVN,41.610298,-90.588303,United States,751
David Enrique Malek International Airport,DAV,MPDA,8.391003,-82.434898,Panama,89
Dawadmi Domestic Airport,DWD,OEDW,24.445545,44.1287,Saudi Arabia,3249
Dawei Airport,TVY,VYDW,14.1,98.199997,Myanmar (Burma),84
Dawson Community Airport,GDV,KGDV,47.13871,-104.806999,United States,2458
Dawson Creek Airport,YDQ,CYDQ,55.742329,-120.182999,Canada,2148
Dayong Zhangjiajie Hehua Airport,DYG,ZGDY,29.107121,110.445686,China,692
Dayrestan Qeshm Island Airport,GSM,OIKQ,26.757778,55.905277,Iran,27
Dayton International Airport,DAY,KDAY,39.90237,-84.219299,United States,1009
Dayton Wright Brothers Airport,MGY,KMGY,39.58889,-84.224998,United States,957
Daytona Beach International Airport,DAB,KDAB,29.185192,-81.060829,United States,34
Dazhou Heshi Airport,DAX,ZUDX,31.135012,107.426888,China,-1
Deadhorse Airport,SCC,PASC,70.194748,-148.464996,United States,67
Deadman's Cay Airport,LGI,MYLD,23.17901,-75.093498,Bahamas,9
Dease Lake Airport,YDL,CYDL,58.422218,-130.031998,Canada,2600
Deauville Saint Gatien Airport,DOL,LFRG,49.363331,0.16,France,479
Debrecen International Airport,DEB,LHDC,47.488911,21.61533,Hungary,359
Decatur Airport,DEC,KDEC,39.830002,-88.860001,United States,682
Decatur Pryor Field Regional Airport,DCU,KDCU,34.652699,-86.945396,United States,592
Deer Lake Airport,YVZ,CYVZ,52.666668,-94.5,Canada,1100
Deer Lake Regional Airport,YDF,CYDF,49.210831,-57.3913,Canada,72
Dehradun Jolly Grant Airport,DED,VIDN,30.18968,78.180252,India,1831
Dekai Nop Goliat Airport,DEX,WAVD,-4.853996,139.485672,Indonesia,180
Del Carmin Sayak Airport,IAO,RPNS,9.858889,126.013885,Philippines,10
Del Rio International Airport,DRT,KDRT,29.374201,-100.927002,United States,1002
Delhi Hindon Airport,HDX,VIDX,28.707747,77.35424,India,700
Delhi Indira Gandhi International Airport,DEL,VIDP,28.5665,77.103081,India,777
Delingha Airport,HXD,ZLDL,37.125,97.268608,China,9383
Den Helder Airport,DHR,EHKD,52.923351,4.780625,Netherlands,3
Denizli Cardak Airport,DNZ,LTAY,37.785561,29.70129,Turkey,2795
Denpasar Ngurah Rai International Airport,DPS,WADD,-8.74816,115.167099,Indonesia,14
Denton Enterprise Airport,QQD,KDTO,33.200832,-97.198059,United States,642
Denver Centennial Airport,APA,KAPA,39.57011,-104.848999,United States,5885
Denver Front Range Airport,QQH,KFTG,39.785278,-104.543053,United States,5512
Denver International Airport,DEN,KDEN,39.858784,-104.673882,United States,5433
Denver Rocky Mountain Metropolitan Airport,BJC,KBJC,39.900002,-105.110001,United States,5673
Dera Ghazi Khan Airport,DEA,OPDG,29.961,70.485901,Pakistan,492
Derby Airport,DRB,YDBY,-17.370001,123.661003,Australia,24
Des Moines International Airport,DSM,KDSM,41.53397,-93.663002,United States,958
Destin Fort Walton Beach Airport,DSI,KDTS,30.399591,-86.470879,United States,18
Destin Fort Walton Beach International Airport,VPS,KVPS,30.48333,-86.525299,United States,87
Detroit Coleman A. Young International Airport,DET,KDET,42.409191,-83.009804,United States,626
Detroit Lakes Airport,DTL,KDTL,46.826389,-95.886108,United States,1396
Detroit Metropolitan Wayne County Airport,DTW,KDTW,42.21244,-83.353302,United States,645
Detroit Willow Run Airport,YIP,KYIP,42.23772,-83.529999,United States,716
Devils Lake Regional Airport,DVL,KDVL,48.113056,-98.907501,United States,1455
Devonport Airport,DPO,YDPO,-41.169724,146.430283,Australia,33
Dezful Airport,DEF,OIAD,32.438828,48.384682,Iran,500
Dhaalu Kudahuvadhoo Airport,DDD,VRMU,2.667222,72.892776,Maldives,6
Dhaka Shahjalal International Airport,DAC,VGHS,23.84333,90.397781,Bangladesh,30
Dhangadhi Airport,DHI,VNDH,28.753332,80.581947,Nepal,690
Dharamsala Gaggal Kangra Airport,DHM,VIGG,32.165001,76.263,India,2525
Dharavandhoo Airport,DRV,VRMD,5.15,73.129997,Maldives,6
Dibrugarh Airport,DIB,VEMN,27.48385,95.016922,India,362
Dickinson Theodore Roosevelt Regional Airport,DIK,KDIK,46.797329,-102.801003,United States,2592
Dien Bien Phu Airport,DIN,VVDB,21.397499,103.008003,Vietnam,1611
